Date,Open,High,Low,Close,Shares Traded,Turnover_Cr
1/1/2019,10881.7,10923.6,10807.1,10910.1,159404542,8688.26
1/2/2019,10868.85,10895.35,10735.05,10792.5,309665939,15352.25
1/3/2019,10796.8,10814.05,10661.25,10672.25,286241745,15030.45
1/4/2019,10699.7,10741.05,10628.65,10727.35,296596655,14516.74
1/7/2019,10804.85,10835.95,10750.15,10771.8,269371080,12731.29
1/8/2019,10786.25,10818.45,10733.25,10802.15,277697672,13433.48
1/9/2019,10862.4,10870.4,10749.4,10855.15,333010535,16213.3
1/10/2019,10859.35,10859.35,10801.8,10821.6,254365477,12031.26
1/11/2019,10834.75,10850.15,10739.4,10794.95,260792200,13084.6
1/14/2019,10807,10808,10692.35,10737.6,298774178,12732.57
1/15/2019,10777.55,10896.95,10777.55,10886.8,310737078,14879.91
1/16/2019,10899.65,10928.15,10876.9,10890.3,276539042,13081.63
1/17/2019,10920.85,10930.65,10844.65,10905.2,271676319,13215.83
1/18/2019,10914.85,10928.2,10852.2,10906.95,323814108,16408.83
1/21/2019,10919.35,10987.45,10885.75,10961.85,288829125,17289.7
1/22/2019,10949.8,10949.8,10864.15,10922.75,300768112,17483.62
1/23/2019,10931.05,10944.8,10811.95,10831.5,298876314,14736.91
1/24/2019,10844.05,10866.6,10798.65,10849.8,361082096,15298.48
1/25/2019,10859.75,10931.7,10756.45,10780.55,463444758,20542.36
1/28/2019,10792.45,10804.45,10630.95,10661.55,419682627,21144.33
1/29/2019,10653.7,10690.35,10583.65,10652.2,356908994,18832.06
1/30/2019,10702.25,10710.2,10612.85,10651.8,410107910,21214.81
1/31/2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
2/1/2019,10851.35,10983.45,10813.45,10893.65,482272661,23112.37
2/4/2019,10876.75,10927.9,10814.15,10912.25,318300039,15478.81
2/5/2019,10908.65,10956.7,10886.7,10934.35,268095127,13435.13
2/6/2019,10965.1,11072.6,10962.7,11062.45,298510497,15172.85
2/7/2019,11070.45,11118.1,11043.6,11069.4,263544426,13542.69
2/8/2019,11023.5,11041.2,10925.45,10943.6,352787419,15507.05
2/11/2019,10930.9,10930.9,10857.1,10888.8,285985383,13818.92
2/12/2019,10879.7,10910.9,10823.8,10831.4,292314643,14424.78
2/13/2019,10870.55,10891.65,10772.1,10793.65,321958549,15360.98
2/14/2019,10786.1,10792.7,10718.75,10746.05,627041405,20797.41
2/15/2019,10780.25,10785.75,10620.4,10724.4,521876968,20733.95
2/18/2019,10738.65,10759.9,10628.4,10640.95,345440240,14903.19
2/19/2019,10636.7,10722.85,10585.65,10604.35,291507060,13765.01
2/20/2019,10655.45,10752.7,10646.4,10735.45,289195306,13209.71
2/21/2019,10744.1,10808.85,10721.5,10789.85,279584955,14758.5
2/22/2019,10782.7,10801.55,10758.4,10791.65,396846597,24386.42
2/25/2019,10813.25,10887.1,10788.05,10880.1,385905142,16466.09
2/26/2019,10775.3,10888.75,10729.3,10835.3,414954476,19186.75
2/27/2019,10881.2,10939.7,10751.2,10806.65,381080073,18313.85
2/28/2019,10865.7,10865.7,10784.85,10792.5,644159018,27123.34
3/1/2019,10842.65,10877.9,10823.1,10863.5,308526309,15010.06
3/5/2019,10864.85,10994.9,10817,10987.45,373220239,17960.03
3/6/2019,11024.85,11062.3,10998.85,11053,372550850,17850.93
3/7/2019,11077.95,11089.05,11027.1,11058.2,321208766,15321.68
3/8/2019,11038.85,11049,11008.95,11035.4,326569833,14369.77
3/11/2019,11068.75,11180.9,11059.85,11168.05,352242287,17349.95
3/12/2019,11231.35,11320.4,11227,11301.2,391310519,20861.35
3/13/2019,11326.2,11352.3,11276.6,11341.7,382996187,20851.67
3/14/2019,11382.5,11383.45,11313.75,11343.25,294480678,15661.05
3/15/2019,11376.85,11487,11370.8,11426.85,463704896,25143.26
3/18/2019,11473.85,11530.15,11412.5,11462.2,320250041,16942.22
3/19/2019,11500.3,11543.85,11451.25,11532.4,326099667,16179.92
3/20/2019,11553.35,11556.1,11503.1,11521.05,366298049,18311.44
3/22/2019,11549.2,11572.8,11434.55,11456.9,386193935,19755.74
3/25/2019,11395.65,11395.65,11311.6,11354.25,294459196,14101.14
3/26/2019,11375.2,11496.75,11352.45,11483.25,282575496,14611.68
3/27/2019,11531.45,11546.2,11413,11445.05,350446089,18356.52
3/28/2019,11463.65,11588.5,11452.45,11570,527678809,25719.65
3/29/2019,11625.45,11630.35,11570.15,11623.9,416276981,20515.25
4/1/2019,11665.2,11738.1,11644.75,11669.15,379572660,18977.99
4/2/2019,11711.55,11729.35,11655.85,11713.2,386131413,18673.7
4/3/2019,11735.3,11761,11629.15,11643.95,365760070,19050.95
4/4/2019,11660.2,11662.55,11559.2,11598,349029830,19713.01
4/5/2019,11638.4,11689.65,11609.5,11665.95,266665797,15000.35
4/8/2019,11704.35,11710.3,11549.1,11604.5,260932608,14203.96
4/9/2019,11612.05,11683.9,11569.7,11671.95,300467538,15984.39
4/10/2019,11646.85,11680.05,11571.75,11584.3,359941110,22258.46
4/11/2019,11592.55,11606.7,11550.55,11596.7,279775726,14332.2
4/12/2019,11612.85,11657.35,11578.8,11643.45,246006184,13598.61
4/15/2019,11667,11704.6,11648.25,11690.35,289996075,15635.79
4/16/2019,11736.2,11810.95,11731.55,11787.15,354315040,17585.48
4/18/2019,11856.15,11856.15,11738.5,11752.8,339653709,18271.27
4/22/2019,11727.05,11727.05,11583.95,11594.45,260356055,13754.12
4/23/2019,11612.95,11645.95,11564.8,11575.95,272544486,14500.53
4/24/2019,11601.5,11740.85,11578.85,11726.15,335196513,17046.66
4/25/2019,11735.7,11796.75,11624.3,11641.8,604360395,28254.3
4/26/2019,11683.75,11762.9,11661.75,11754.65,333483764,18098.83
4/30/2019,11748.75,11756.25,11655.9,11748.15,532630874,23324.98
5/2/2019,11725.55,11789.3,11699.55,11724.75,380278045,17790.06
5/3/2019,11722.6,11770.9,11699.35,11712.25,305519934,15156.32
5/6/2019,11605.8,11632.55,11571.35,11598.25,299046480,14703.42
5/7/2019,11651.5,11657.05,11484.45,11497.9,337495624,16632.84
5/8/2019,11478.7,11479.1,11346.95,11359.45,372826025,17440.01
5/9/2019,11322.4,11357.6,11255.05,11301.8,373028059,17602.86
5/10/2019,11314.15,11345.8,11251.05,11278.9,387323416,18085.19
5/13/2019,11258.7,11300.2,11125.6,11148.2,357586433,16722.91
