"","stock_id","day","interval","alpha","beta","alpha_std","beta_std","alpha_t","beta_t","alpha_p","beta_p","r_adj"
"235",12,3,600,-0.00319,0.24298,0.00132,0.24621,-2.41229,0.98689,0.02176,0.3311,-0.000790246838546782
"236",12,4,60,-0.00338,0.29555,0.00053,0.10863,-6.38928,2.72077,0,0.00686,0.0189201082796191
"237",12,4,120,-0.00174,0.63316,0.00068,0.13778,-2.55195,4.59542,0.01163,1e-05,0.108676020300722
"238",12,4,180,-0.0014,0.70363,0.00083,0.16566,-1.69156,4.24745,0.09359,5e-05,0.134136690070739
"239",12,4,300,-0.00165,0.62647,0.00099,0.19553,-1.65898,3.20395,0.10201,0.00211,0.124759297951052
"240",12,4,360,-0.00154,0.64299,0.00109,0.21495,-1.40638,2.99138,0.16545,0.00421,0.128306402713579
"241",12,4,600,-0.00209,0.50551,0.00134,0.25369,-1.56437,1.99267,0.12788,0.05516,0.084949311415765
"242",13,1,60,-0.00039,0.9234,0.00084,0.16885,-0.46167,5.46868,0.64462,0,0.0798728301029331
"243",13,1,120,0.00103,1.2136,0.00106,0.20644,0.97053,5.87864,0.3332,0,0.168163564622493
"244",13,1,180,0.00208,1.41594,0.00122,0.23075,1.70536,6.13618,0.09095,0,0.248235900106553
"245",13,1,300,0.00203,1.40591,0.00165,0.2934,1.23184,4.79183,0.22245,1e-05,0.249672563241338
"246",13,1,360,0.00271,1.52953,0.00156,0.26838,1.74185,5.69919,0.08723,0,0.36402079372093
"247",13,1,600,0.002,1.38683,0.00304,0.47644,0.65756,2.91081,0.51552,0.00651,0.184638062789757
"248",13,2,60,-0.00213,0.57202,0.00081,0.16883,-2.63755,3.38809,0.00875,0.00079,0.0305978898259193
"249",13,2,120,-0.00208,0.59405,0.00106,0.2201,-1.9706,2.69904,0.05045,0.00768,0.0366923258828341
"250",13,2,180,-0.00158,0.72561,0.0012,0.25063,-1.31989,2.89513,0.18964,0.00458,0.0628870329300846
"251",13,2,300,-0.00025,1.04597,0.00129,0.26699,-0.19508,3.91764,0.84595,0.00022,0.180822707018086
"252",13,2,360,0.00028,1.18641,0.00129,0.26566,0.21765,4.46592,0.82854,4e-05,0.25971092835946
"253",13,2,600,0.00146,1.56299,0.002,0.41411,0.73041,3.77434,0.47062,0.00068,0.292750110372598
"254",13,3,60,-0.00208,0.51693,0.00064,0.13223,-3.24242,3.90932,0.00131,0.00011,0.0411272915451224
"255",13,3,120,-0.00111,0.66701,0.00079,0.1618,-1.40175,4.12256,0.16287,6e-05,0.0878894989566824
"256",13,3,180,-0.00065,0.72066,0.00099,0.20083,-0.65223,3.58838,0.51561,5e-04,0.0966538814497396
"257",13,3,300,-0.00207,0.30085,0.00131,0.26275,-1.57401,1.14501,0.12034,0.2564,0.00469072210148191
"258",13,3,360,-0.00139,0.39621,0.00155,0.30688,-0.89523,1.2911,0.37464,0.20217,0.0119807115380077
"259",13,3,600,-0.00119,0.21297,0.00142,0.26361,-0.83826,0.80789,0.4081,0.42512,-0.0106364423797507
"260",13,4,60,-0.0036,0.23046,0.00072,0.14764,-5.01458,1.56098,0,0.11948,0.00429579429601312
"261",13,4,120,-0.00265,0.41038,0.00072,0.14648,-3.67202,2.8015,0.00032,0.00569,0.0396210010189237
"262",13,4,180,-0.00162,0.60423,0.00098,0.19573,-1.65639,3.08706,0.10049,0.00256,0.0713624936301667
"263",13,4,300,-6e-05,0.8918,0.00122,0.23988,-0.05197,3.71765,0.95871,0.00042,0.162658911577666
"264",13,4,360,0.00031,0.95016,0.00151,0.29726,0.20429,3.19636,0.83889,0.00233,0.143524879622064
"265",13,4,600,0.00061,0.93999,0.00173,0.33005,0.35421,2.84801,0.72551,0.00763,0.177285780575503
