"","stock_id","day","interval","alpha","beta","alpha_std","beta_std","alpha_t","beta_t","alpha_p","beta_p","r_adj"
"48",2,4,360,-0.00315,0.37542,9e-04,0.17736,-3.49188,2.11672,0.00098,0.039,0.0605510086212779
"49",2,4,600,-8e-05,1.02864,0.00107,0.20239,-0.07065,5.08259,0.94413,2e-05,0.436944046426215
"50",3,1,60,-0.00373,0.24305,0.00062,0.12583,-5.975,1.93163,0,0.05426,0.00813510326680644
"51",3,1,120,-0.00131,0.75436,0.00077,0.14926,-1.70558,5.05395,0.08997,0,0.128802734928027
"52",3,1,180,0.00031,1.07549,0.00096,0.18226,0.31872,5.90077,0.75054,0,0.233526635138033
"53",3,1,300,-0.00025,1.00719,0.00108,0.19244,-0.2271,5.23372,0.82106,0,0.285650778311927
"54",3,1,360,0.00055,1.16602,0.00115,0.19897,0.47927,5.86037,0.63368,0,0.377433325593147
"55",3,1,600,0.00037,1.16144,0.00118,0.18395,0.31406,6.31395,0.75552,0,0.540812091172009
"56",3,2,60,-0.00303,0.36096,0.00074,0.15432,-4.09796,2.33896,5e-05,0.01993,0.0132477909161306
"57",3,2,120,-0.0018,0.61331,0.00088,0.18231,-2.05318,3.36413,0.04163,0.00095,0.0585157638544418
"58",3,2,180,0.00161,1.35063,0.00109,0.22815,1.48259,5.91991,0.14104,0,0.234722062867801
"59",3,2,300,0.00188,1.40838,0.0013,0.27133,1.44035,5.19058,0.15457,0,0.282156715104113
"60",3,2,360,0.0016,1.3499,0.00117,0.24215,1.36653,5.5747,0.17744,0,0.353528523154697
"61",3,2,600,0.00183,1.41652,0.00155,0.32162,1.18345,4.40433,0.24535,0.00011,0.3579534318761
"62",3,3,60,-0.00425,0.10987,0.00047,0.09794,-8.97102,1.12178,0,0.26277,0.00077534532044532
"63",3,3,120,-0.00301,0.36372,0.00058,0.11783,-5.19947,3.08694,0,0.00237,0.048869828828817
"64",3,3,180,-0.00195,0.59746,0.00064,0.12846,-3.07244,4.65079,0.00268,1e-05,0.156726436539367
"65",3,3,300,-0.00143,0.70589,0.00073,0.14543,-1.96531,4.85372,0.05365,1e-05,0.254730608976254
"66",3,3,360,-0.00115,0.76811,0.00082,0.16229,-1.40745,4.73298,0.16502,2e-05,0.28011535910922
"67",3,3,600,-0.00228,0.50735,0.00097,0.18162,-2.34328,2.79347,0.02549,0.00873,0.170927139552885
"68",3,4,60,-0.00392,0.19386,5e-04,0.10292,-7.83268,1.8835,0,0.06051,0.00759232403984311
"69",3,4,120,-0.0022,0.56383,0.00067,0.13543,-3.29798,4.16332,0.00119,5e-05,0.0895791826637001
"70",3,4,180,-0.00099,0.82348,0.00079,0.15785,-1.25164,5.21677,0.21336,0,0.191048632762855
"71",3,4,300,-0.00113,0.81751,0.00101,0.19869,-1.12165,4.1145,0.26614,0.00011,0.194425605808844
"72",3,4,360,-0.00014,1.03208,0.00121,0.23765,-0.11824,4.34278,0.90631,6e-05,0.245124647639707
"73",3,4,600,-0.00104,0.88708,0.00156,0.2969,-0.66684,2.98786,0.50966,0.00536,0.193692090057587
"74",4,1,60,-0.00337,0.30555,0.00038,0.07567,-8.97634,4.03775,0,7e-05,0.0439371563043217
"75",4,1,120,-0.00273,0.44478,0.00049,0.09547,-5.56134,4.65883,0,1e-05,0.11089525014631
"76",4,1,180,-0.00288,0.41862,0.00065,0.12268,-4.43006,3.41223,2e-05,9e-04,0.0874959541079556
"77",4,1,300,-0.0039,0.24241,0.00073,0.1303,-5.32997,1.86043,0,0.06735,0.0359501262227699
"78",4,1,360,-0.00346,0.33484,0.00107,0.18472,-3.22711,1.81265,0.00213,0.07545,0.0398998070068464
"79",4,1,600,-0.00518,0.06451,0.00108,0.16827,-4.8216,0.38337,3e-05,0.70398,-0.0265352845225371
"80",4,2,60,-0.0025,0.47401,0.00061,0.1274,-4.10299,3.72075,5e-05,0.00023,0.0372457994807401
"81",4,2,120,-0.00148,0.68726,0.00063,0.13029,-2.36518,5.27495,0.01919,0,0.139841622007832
"82",4,2,180,-0.00014,0.97755,8e-04,0.16787,-0.17011,5.82341,0.86524,0,0.23029604628392
"83",4,2,300,-0.00042,0.8852,0.00082,0.16938,-0.51096,5.22601,0.61114,0,0.288148522360561
"84",4,2,360,-0.00065,0.82692,0.00093,0.19195,-0.69725,4.30808,0.48869,7e-05,0.245383496901571
"85",4,2,600,0.00095,1.17648,0.0012,0.24743,0.79261,4.7547,0.43403,4e-05,0.403065219191829
"86",4,3,60,-0.0037,0.21235,4e-04,0.08184,-9.34869,2.5947,0,0.00989,0.0169232660804127
"87",4,3,120,-0.00326,0.28654,0.00049,0.10002,-6.64147,2.86487,0,0.00471,0.041611933903581
"88",4,3,180,-0.00304,0.32269,0.00052,0.106,-5.78846,3.0442,0,0.00292,0.0693163407841217
"89",4,3,300,-0.00209,0.4914,0.00061,0.12252,-3.41642,4.0109,0.0011,0.00016,0.186062820176106
"90",4,3,360,-0.00268,0.34384,0.00066,0.13081,-4.05673,2.62856,0.00016,0.01114,0.0970187170799044
"91",4,3,600,-0.00213,0.40095,0.00081,0.15171,-2.62034,2.64283,0.01332,0.01262,0.153510752497577
"92",4,4,60,-0.00437,0.09228,0.00042,0.08536,-10.5159,1.08116,0,0.28041,0.000506962781346654
"93",4,4,120,-0.00386,0.20437,0.00051,0.1041,-7.52459,1.96327,0,0.0513,0.0169047483000065
"94",4,4,180,-0.00302,0.37549,0.00063,0.12686,-4.77878,2.95992,1e-05,0.00377,0.0653505354668539
"95",4,4,300,-0.00166,0.66345,0.00067,0.13246,-2.46997,5.00854,0.01615,0,0.267362263146266
"96",4,4,360,-0.00322,0.34243,0.00086,0.16994,-3.72974,2.01495,0.00046,0.0489,0.0527043212687394
"97",4,4,600,-0.00122,0.7629,0.00076,0.14523,-1.59886,5.25299,0.11968,1e-05,0.446251997515516
"98",5,1,60,-0.00414,0.15262,0.00051,0.10329,-8.07445,1.47758,0,0.14047,0.00355134021131598
"99",5,1,120,-0.00436,0.12391,8e-04,0.15515,-5.47487,0.79867,0,0.42564,-0.00219950347617814
"100",5,1,180,-0.00463,0.08657,0.00108,0.20304,-4.30392,0.42635,4e-05,0.67069,-0.00749415522838115
"101",5,1,300,-0.00635,-0.21575,0.00124,0.21991,-5.12167,-0.98106,0,0.33026,-0.000577498192827486
"102",5,1,360,-0.00663,-0.2479,0.00125,0.21383,-5.3198,-1.15935,0,0.25151,0.00633159115296034
"103",5,1,600,-0.00516,0.07892,0.00167,0.25976,-3.08168,0.30381,0.00429,0.7633,-0.0291936641462018
"104",5,2,60,-0.00319,0.31599,0.00049,0.103,-6.46935,3.06791,0,0.00233,0.0246390999178604
"105",5,2,120,-0.0023,0.48233,0.00072,0.15067,-3.18204,3.20116,0.00175,0.00164,0.0527678079353232
"106",5,2,180,-0.00161,0.61848,9e-04,0.18883,-1.78699,3.27541,0.07669,0.00141,0.0805803101676311
"107",5,2,300,-0.00242,0.42822,0.00125,0.26052,-1.9343,1.64371,0.05743,0.10506,0.0251364612268259
"108",5,2,360,-0.00153,0.61353,0.00139,0.28637,-1.10652,2.14247,0.27341,0.03668,0.0612760212975826
"109",5,2,600,-6e-04,0.78652,0.00189,0.39344,-0.31458,1.99909,0.75512,0.05415,0.0832407277965304
"110",5,3,60,-0.0026,0.43812,0.00043,0.08809,-6.10055,4.97328,0,0,0.0665300712188659
"111",5,3,120,-0.00112,0.7298,5e-04,0.10257,-2.2234,7.11502,0.02755,0,0.230139419225926
"112",5,3,180,-0.00021,0.91328,0.00049,0.09814,-0.43237,9.30619,0.66632,0,0.43541646124422
"113",5,3,300,0.00056,1.03767,0.00071,0.1414,0.79015,7.33836,0.43232,0,0.444685387397844
"114",5,3,360,-4e-04,0.80673,0.00061,0.12074,-0.65175,6.68163,0.51733,0,0.442440152379666
"115",5,3,600,0.00036,0.90475,0.00061,0.11327,0.59388,7.98746,0.55676,0,0.655530733018973
"116",5,4,60,-0.00323,0.34474,0.00049,0.10085,-6.58469,3.41827,0,0.00071,0.0310882470074324
"117",5,4,120,-0.00205,0.60556,0.00058,0.11714,-3.5505,5.16961,5e-04,0,0.134175730316476
"118",5,4,180,-0.00185,0.66642,0.00073,0.14616,-2.53651,4.55941,0.0126,1e-05,0.151299939658496
"119",5,4,300,-0.00143,0.78952,0.00098,0.19324,-1.45679,4.0858,0.14999,0.00012,0.192104962103095
"120",5,4,360,-0.00313,0.45413,0.00096,0.18804,-3.27796,2.41512,0.00183,0.01915,0.080771871494272
"121",5,4,600,-0.00052,1.0602,0.00124,0.23533,-0.41933,4.50512,0.67778,8e-05,0.368977658542877
"122",6,1,60,-0.0043,0.11111,7e-04,0.14193,-6.10807,0.78286,0,0.43427,-0.00116389781149762
"123",6,1,120,-0.00495,-0.00625,0.00093,0.18139,-5.31786,-0.03446,0,0.97255,-0.00605336571411685
"124",6,1,180,-0.00514,-0.0387,0.00121,0.22772,-4.26791,-0.16994,4e-05,0.86537,-0.00882603484001643
"125",6,1,300,-0.00563,-0.08852,0.00183,0.32508,-3.08049,-0.27229,0.00303,0.78626,-0.0142277047009833
"126",6,1,360,-0.00684,-0.29938,0.00178,0.30632,-3.84932,-0.97733,0.00032,0.33276,-0.000815699655863922
"127",6,1,600,-0.00427,0.21475,0.00231,0.36149,-1.85108,0.59406,0.07341,0.55665,-0.0200011470069352
"128",6,2,60,-0.00287,0.38948,0.00066,0.1376,-4.35537,2.83056,2e-05,0.00493,0.0206229695989115
"129",6,2,120,-0.00137,0.69506,0.00075,0.15626,-1.82409,4.44806,0.06995,2e-05,0.101659767972841
"130",6,2,180,6e-05,0.9973,0.00104,0.21848,0.05291,4.56477,0.9579,1e-05,0.151617010443464
"131",6,2,300,-0.00153,0.63741,0.00122,0.25318,-1.25806,2.51758,0.21287,0.01429,0.0748295801040252
"132",6,2,360,0.00023,1.02498,0.00127,0.26153,0.18519,3.91914,0.85377,0.00025,0.20703175578056
"133",6,2,600,-0.00051,0.831,0.00173,0.3602,-0.29405,2.30702,0.77062,0.02768,0.115811597218157
"134",6,3,60,-0.00366,0.22145,0.00039,0.08086,-9.35386,2.73851,0,0.0065,0.0191442516527016
"135",6,3,120,-0.00272,0.40762,0.00054,0.11058,-5.01914,3.68629,0,0.00031,0.0704900080471419
"136",6,3,180,-0.002,0.54659,7e-04,0.14122,-2.86589,3.87041,0.00498,0.00018,0.111858565085675
"137",6,3,300,-0.00139,0.68129,0.00089,0.17839,-1.55584,3.81913,0.1246,3e-04,0.170706039763948
"138",6,3,360,-0.00107,0.74517,0.00094,0.18709,-1.13618,3.98303,0.2609,0.00021,0.212762122289332
"139",6,3,600,-0.00027,0.91219,0.00116,0.21684,-0.23097,4.20677,0.81881,2e-04,0.335974604907941
"140",6,4,60,-0.00313,0.34363,0.00045,0.09289,-6.92804,3.69945,0,0.00025,0.0366977688839686
"141",6,4,120,-0.00245,0.48399,5e-04,0.10209,-4.8571,4.74086,0,0,0.11455209079081
"142",6,4,180,-0.00236,0.4952,0.00062,0.12522,-3.78456,3.95452,0.00025,0.00014,0.116511084053546
"143",6,4,300,-0.00058,0.87134,0.00061,0.11992,-0.95739,7.2662,0.34192,0,0.439717314925546
"144",6,4,360,-0.00157,0.66542,0.00088,0.17305,-1.78697,3.84513,0.07956,0.00032,0.20040706660225
